Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C3,C4",C_0805_2012Metric,C49678,2
0K,"R13,R14",R_0805_2012Metric,C17477,2
10K,"R1,R11,R12,R17,R18,R2,R20,R21,R3,R4,R5,R6,R7,R8",R_0805_2012Metric,C17414,14
10uF,C1,C_0805_2012Metric,C15850,1
22uF,C2,C_0805_2012Metric,C45783,1
330R,"R10,R19,R9",R_0805_2012Metric,C17630,3
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186,1
BSS138,"Q2,Q3,Q4,Q5,Q6,Q7,Q9",SOT-23,C7420339,7
Conn_02x03_Odd_Even,J5,PinHeader_2x03_P1.27mm_Vertical_SMD,C42372553,1
ESP32-WROOM-32E,U2,ESP32-WROOM-32D,C701342,1
SW_Omron_B3FS,"SW1,SW10,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9",SW_SPST_Omron_B3FS-101xP,C231324,10
