Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,103.73,-64.84,90.0,top
C2,22uF,C_0805_2012Metric,101.28,-64.86,90.0,top
C3,0.1uF,C_0805_2012Metric,50.61,-33.79,90.0,top
C4,0.1uF,C_0805_2012Metric,44.73,-33.2,0.0,top
J5,Conn_02x03_Odd_Even,PinHeader_2x03_P1.27mm_Vertical_SMD,32.53,-24.21,-90.0,top
Q2,BSS138,SOT-23,77.2375,-99.25,180.0,top
Q3,BSS138,SOT-23,77.2375,-93.25,180.0,top
Q4,BSS138,SOT-23,77.2375,-87.25,180.0,top
Q5,BSS138,SOT-23,77.2375,-105.25,180.0,top
Q6,BSS138,SOT-23,87.77,-34.35,-90.0,top
Q7,BSS138,SOT-23,92.395,-34.35,-90.0,top
Q9,BSS138,SOT-23,97.81,-34.3675,-90.0,top
R1,10K,R_0805_2012Metric,85.5875,-98.5,180.0,top
R10,330R,R_0805_2012Metric,92.32,-39.375,-90.0,top
R11,10K,R_0805_2012Metric,96.44,-63.9675,-90.0,top
R12,10K,R_0805_2012Metric,91.44,-63.88,90.0,top
R13,0K,R_0805_2012Metric,101.0,-71.5,180.0,top
R14,0K,R_0805_2012Metric,101.0,-75.5,180.0,top
R17,1K,R_0805_2012Metric,90.0875,-75.5,180.0,top
R18,10K,R_0805_2012Metric,90.0875,-69.5,180.0,top
R19,330R,R_0805_2012Metric,97.94,-39.075,-90.0,top
R2,10K,R_0805_2012Metric,68.675,-98.5,0.0,top
R20,10K,R_0805_2012Metric,70.86,-53.13,-90.0,top
R21,10K,R_0805_2012Metric,44.6925,-35.76,0.0,top
R3,10K,R_0805_2012Metric,85.5875,-92.5,180.0,top
R4,10K,R_0805_2012Metric,68.675,-92.5,0.0,top
R5,10K,R_0805_2012Metric,85.5875,-86.5,180.0,top
R6,10K,R_0805_2012Metric,68.675,-86.5,0.0,top
R7,10K,R_0805_2012Metric,85.5875,-104.5,180.0,top
R8,10K,R_0805_2012Metric,68.675,-104.5,0.0,top
R9,330R,R_0805_2012Metric,87.82,-39.4625,-90.0,top
SW1,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,76.48,-77.67,0.0,top
SW10,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,55.35,-102.59,0.0,top
SW2,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,22.85,-77.59,0.0,top
SW3,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,39.1,-77.59,0.0,top
SW4,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,55.35,-77.59,0.0,top
SW5,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,22.85,-90.09,0.0,top
SW6,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,39.1,-90.09,0.0,top
SW7,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,55.35,-90.09,0.0,top
SW8,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,22.85,-102.59,0.0,top
SW9,SW_Omron_B3FS,SW_SPST_Omron_B3FS-101xP,39.1,-102.59,0.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,106.75,-59.03,0.0,top
U2,ESP32-WROOM-32E,ESP32-WROOM-32D,62.11,-41.465,0.0,top
